Designator,Val,Package,Mid X,Mid Y,Rotation ,Layer
BAT1,CR2032,BatteryHolder_Keystone_1060_1x2032,224.79,-50.165,0,top
C1,0.1uF,C_1206_3216Metric,152.4,-60.96,180,top
C2,0.1uF,C_1206_3216Metric,171.45,-102.44,270,top
C3,0.1uF,C_1206_3216Metric,216.25,-79,90,top
C4,0.1uF,C_1206_3216Metric,171.45,-43.815,180,top
C5,0.1uF,C_1206_3216Metric,152.4,-80.645,180,top
C6,0.1uF,C_1206_3216Metric,216.25,-61.25,180,top
C7,0.1uF,C_1206_3216Metric,237.4,-85.75,90,top
C8,0.1uF,C_1206_3216Metric,125.095,-71.755,90,top
C9,0.1uF,C_1206_3216Metric,125.095,-91.44,90,top
C10,0.1uF,C_1206_3216Metric,200.66,-96,180,top
C11,0.1uF,C_1206_3216Metric,200.66,-76.2,180,top
C12,33uF 16v,CP_EIA-3528-15_AVX-H,224.155,-124.46,0,top
C13,33uF 16v,CP_EIA-3528-15_AVX-H,126.365,-45.085,0,top
C14,4.7uF 35v,CP_EIA-3528-15_AVX-H,224.155,-114.3,0,top
C15,4.7uF 35v,CP_EIA-3528-15_AVX-H,224.155,-118.745,0,top
R1,10K,R_1206_3216Metric,126.365,-66.675,0,top
R2,10K,R_1206_3216Metric,126.365,-64.135,0,top
R3,10K,R_1206_3216Metric,126.365,-61.595,0,top
R4,10K,R_1206_3216Metric,126.365,-59.055,0,top
R5,10K,R_1206_3216Metric,126.365,-56.515,0,top
R6,10K,R_1206_3216Metric,126.365,-53.975,0,top
R7,10K,R_1206_3216Metric,126.365,-51.435,0,top
SW1,SW_DIP_x10,SW_DIP_SPSTx10_Slide_9.78x27.58mm_W7.62mm_P2.54mm,139.7,-66.675,180,top
U1,BIOS FLASH,DIP-32_W15.24mm_Socket,156.845,-76.2,90,top
U2,74HCT245,DIP-20_W7.62mm_Socket,174.625,-108.585,90,top
U3,1.8432 MHz,Oscillator_SMD_SeikoEpson_SG8002CA-4Pin_7.0x5.0mm,221.5,-80.5,0,top
U4,DS1315,DIP-16_W7.62mm_Socket,175.895,-51.435,90,top
U5,AS6C4008-55PCN,DIP-32_W15.24mm_Socket,156.845,-95.885,90,top
U6,16C550,LQFP-48_7x7mm_P0.5mm,220.75,-70.25,0,top
U7,GD75232N,SOIC-20W_7.5x12.8mm_P1.27mm,232.75,-95.225,0,top
U8,GAL16V8,DIP-20_W7.62mm_Socket,125.095,-83.82,90,top
U9,GAL16V8,DIP-20_W7.62mm_Socket,125.095,-103.505,90,top
Y1,32.768 kHz,Crystal_C38-LF_D3.0mm_L8.0mm_Horizontal,172.72,-51.435,270,top
